Frequency,Monetary,NumItems,NumProducts,Tenure,AvgOrderValue,RevenuePerMonth,PurchaseTrend,ReturnRate,IsUK,Country_Belgium,Country_France,Country_Germany,Country_Other,Country_Spain,Country_Switzerland,Country_United Kingdom,Churned
0.6931471805599453,9.89756986249604,11.214735039333107,0.6931471805599453,0.0,9.89756986249604,9.89756986249604,0.0,0.0,1,False,False,False,False,False,False,True,1
5.209486152841421,8.368925174747135,7.807510042216193,4.6443908991413725,5.902633333401366,3.2060466287815386,5.794055054159167,4.486071428571423,0.0,0,False,False,False,True,False,False,False,0
3.4657359027997265,7.494563687769957,7.758760544157663,3.1354942159291497,5.645446897643238,4.0771218299394825,5.157971599934514,-160.884,0.0,0,False,False,False,True,False,False,False,0
4.30406509320417,7.472244884833674,6.448889394146858,4.30406509320417,0.0,3.2219123059801262,7.472244884833674,0.0,0.0,0,False,False,False,True,False,False,False,0
2.8903717578961645,5.815323849389109,5.288267030694535,2.8903717578961645,0.0,3.0287118316967807,5.815323849389109,0.0,0.0,0,False,False,False,True,False,False,False,1
4.454347296253507,7.826858053356098,6.285998094508865,4.0943445622221,5.564520407322694,3.417163362007433,5.5616254825297435,-58.71199999999999,0.0,0,False,False,False,True,False,False,False,0
1.6094379124341003,4.499809670330265,3.044522437723423,1.6094379124341003,0.0,3.1463051320333655,4.499809670330265,0.0,0.0,0,False,False,False,True,False,False,False,1
4.07753744390572,6.985086621918461,6.274762021241939,4.07753744390572,0.0,2.97605722432628,6.985086621918461,0.0,0.0,0,False,False,False,False,True,False,False,1
2.6390573296152584,6.132095676847728,5.484796933490655,2.6390573296152584,0.0,3.5928767268616704,6.132095676847728,0.0,0.0,0,False,False,False,True,False,False,False,1
4.0943445622221,7.941804157314053,7.3727463664043285,3.9889840465642745,5.713732805509369,3.8846796794091576,5.541439527782663,-1106.6349999999998,0.0,0,False,False,False,True,False,False,False,0
4.882801922586371,8.733701981297274,7.904334842085095,4.882801922586371,0.0,3.8792269230435794,8.733701981297274,0.0,0.0,0,False,False,False,False,False,True,False,0
2.995732273553991,7.063955286074528,5.517452896464707,2.6390573296152584,5.0106352940962555,4.13479596176473,5.282006290318312,198.34000000000003,0.0,0,False,False,False,True,False,False,False,0
5.517452896464707,8.759916600117213,7.392031567514591,5.365976015021851,5.616771097666572,3.2845095122213026,6.445518253542056,625.846,0.0,0,False,False,False,True,False,False,False,0
4.867534450455582,7.887231116540211,7.061334366910438,4.663439094112067,5.003946305945459,3.074364326614664,6.108495739651838,-19.899999999999977,0.0,0,False,False,False,True,False,False,False,0
2.3978952727983707,5.251749730731702,4.5217885770490405,2.3978952727983707,0.0,2.995232148512309,5.251749730731702,0.0,0.0,0,True,False,False,False,False,False,False,1
5.58724865840025,8.56163678004062,7.709756864454165,5.308267697401205,5.680172609017068,3.0275933363261256,6.190142928908782,55.21750000000001,0.0,0,True,False,False,False,False,False,False,0
